Year,RoundNumber,Driver,StartingCompound,StartingTyreLife,FirstStintLength,avg_air_temp,avg_humidity,avg_pressure,avg_rainfall,avg_track_temp,avg_wind_direction,avg_wind_speed
2025,5,HUL,HARD,1.0,33.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,LAW,MEDIUM,1.0,20.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,LEC,MEDIUM,1.0,29.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,NOR,HARD,1.0,34.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,OCO,MEDIUM,1.0,1.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,PIA,MEDIUM,1.0,19.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,RUS,MEDIUM,1.0,20.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,SAI,MEDIUM,1.0,21.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,STR,HARD,2.0,39.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,TSU,MEDIUM,1.0,1.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,5,VER,MEDIUM,1.0,21.0,29.483802816901402,62.725352112676056,1006.7661971830985,0.0,37.819718309859155,-90.87700042724374,1.0260563380281689
2025,9,ALB,SOFT,4.0,6.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,ALO,SOFT,3.0,15.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,ANT,SOFT,4.0,21.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,BEA,SOFT,1.0,8.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
2025,9,BOR,SOFT,4.0,19.0,29.12,54.6258064516129,1002.771612903226,0.0,48.54322580645161,14.60699982076291,1.6329032258064518
